idcliente,zona,pais,tipodeproducto,canaldeventa,prioridad,fechapedido,idpedido,fechaenvio,unidades,preciounitario,costeunitario,importeventatotal,importecostetotal
C2421,Europa,United Kingdom,Snacks,Offline,CrItica,12/10/2020,242113196,30/11/2020,5530,152.58,97.440002,843767.38,538843.19
C1908,Europa,Malta,CArnicos,Online,Alta,26/01/2020,190800607,28/01/2020,994,421.89001,364.69,419358.66,362501.88
C7652,Australia y OceanIa,Marshall Islands,Cereales,Online,CrItica,9/11/2020,765228068,21/11/2020,6845,205.7,117.11,1408016.5,801617.94
C2326,Africa,Iran,Frutas,Offline,Baja,21/08/2021,232631909,2/10/2021,9806,9.3299999,6.9200001,91489.977,67857.523
C5305,CentroamErica y Caribe,Guatemala,Alimento infantil,Offline,Media,30/09/2022,530560958,12/11/2022,3633,255.28,159.42,927432.25,579172.88
C5168,CentroamErica y Caribe,Grenada,Bebida,Offline,Baja,21/01/2022,516876542,21/02/2022,4110,47.450001,31.790001,195019.5,130656.9
C9197,Australia y OceanIa,Fiji,Snacks,Offline,Media,17/02/2022,919752490,27/02/2022,4056,152.58,97.440002,618864.5,395216.63
C2876,Africa,Tunisia ,CosmEticos,Offline,Media,21/03/2020,287675130,7/05/2020,8319,437.20001,263.32999,3637066.8,2190642.3
C8394,CentroamErica y Caribe,Grenada,Cuidado personal,Offline,CrItica,13/02/2021,839443290,1/04/2021,8779,81.730003,56.669998,717507.69,497505.94
C8141,Australia y OceanIa,Australia,Material de oficina,Online,Media,15/06/2021,814168298,12/07/2021,9347,651.21002,524.96002,6086860,4906801
C3212,NorteamErica,Greenland,CosmEticos,Online,Alta,15/07/2022,321273982,30/08/2022,966,437.20001,263.32999,422335.19,254376.78
C8904,Africa,Angola,Snacks,Online,CrItica,13/05/2020,890496671,5/06/2020,6609,152.58,97.440002,1008401.3,643980.94
C5218,Africa,Zambia,Bebida,Offline,CrItica,6/05/2021,521885192,22/05/2021,6281,47.450001,31.790001,298033.44,199672.98
C4358,Africa,Kenya,Verduras,Offline,Alta,7/11/2020,435800874,25/12/2020,2018,154.06,90.93,310893.09,183496.73
C1229,Africa,Azerbaijan,Frutas,Offline,CrItica,20/10/2021,122917544,17/11/2021,2888,9.3299999,6.9200001,26945.039,19984.961
C4942,Africa,Mozambique,Cuidado personal,Offline,CrItica,21/10/2021,494221532,18/11/2021,9989,81.730003,56.669998,816401,566076.63
C7310,Australia y OceanIa,Federated States of Micronesia,CosmEticos,Offline,CrItica,19/04/2020,731011664,30/04/2020,1451,437.20001,263.32999,634377.19,382091.84
C5348,CentroamErica y Caribe,Dominican Republic,Snacks,Offline,CrItica,3/11/2022,534899270,4/11/2022,7436,152.58,97.440002,1134584.9,724563.81
C5778,Africa,Libya,Material de oficina,Online,Alta,10/07/2022,577808177,22/07/2022,5135,651.21002,524.96002,3343963.3,2695669.5
C2519,Asia,Uzbekistan,Material de oficina,Online,Baja,1/06/2021,251974713,21/06/2021,3772,651.21002,524.96002,2456364,1980149.1
C8199,Asia,Sri Lanka,Cuidado personal,Offline,Media,28/07/2020,819947707,5/09/2020,9602,81.730003,56.669998,784771.44,544145.31
C4645,Africa,The Gambia,CosmEticos,Online,CrItica,8/06/2021,464588487,25/07/2021,912,437.20001,263.32999,398726.41,240156.95
C1390,Asia,Myanmar,Snacks,Offline,Media,26/07/2021,139070880,4/08/2021,3019,152.58,97.440002,460639.03,294171.38
C4168,Asia,Bhutan,Ropa,Online,CrItica,15/10/2021,416881215,21/10/2021,3270,109.28,35.84,357345.59,117196.8
C1418,Africa,Mali,Verduras,Online,CrItica,23/11/2021,141818320,29/11/2021,6047,154.06,90.93,931600.81,549853.69
C4779,Africa,Burundi,Cuidado personal,Online,Alta,31/01/2022,477993524,12/03/2022,7761,81.730003,56.669998,634306.5,439815.88
C8598,Africa,Libya,Ropa,Offline,Alta,11/07/2021,859830653,5/08/2021,1852,109.28,35.84,202386.56,66375.68
C3420,Africa,Nigeria,Ropa,Offline,CrItica,26/08/2022,342066037,11/10/2022,3797,109.28,35.84,414936.16,136084.48
C7497,Europa,Norway,DomEstico,Online,CrItica,21/02/2021,749748504,16/03/2021,6098,668.27002,502.54001,4075110.5,3064489
C8282,Africa,Kenya,CosmEticos,Offline,Media,30/08/2021,828239381,8/10/2021,3293,437.20001,263.32999,1439699.6,867145.69
C2932,Australia y OceanIa,Papua New Guinea,Verduras,Online,Alta,19/02/2022,293212497,9/03/2022,6948,154.06,90.93,1070408.9,631781.63
C2806,Asia,North Korea,Cuidado personal,Offline,Baja,17/11/2020,280654180,2/01/2021,663,81.730003,56.669998,54186.988,37572.211
C1968,Europa,Montenegro,Ropa,Offline,Media,25/11/2020,196863257,9/01/2021,5067,109.28,35.84,553721.75,181601.28
